MX0000010141942TAVG-9999   -9999   -9999   -9999   -9999 XI-9999 XI-9999 QI-9999 QI-9999 XI-9999 XI-9999 XI 1230  I
MX0000010141943TAVG 1259  I 1444  I 1731  I 1895  I 2035  I 2007  I 2000  I 2012  I 1943  I 1590  I 1327  I 1259  I
MX0000010141944TAVG  955  I 1357  I 1419  I 1766  I 1915  I 2051  I 2103  I 1866  I 1852  I 1573  I 1476  I 1181  I
MX0000010141945TAVG-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 XI-9999 QI-9999 QI-9999 XI-9999 XI 1369  I
MX0000010141946TAVG-9999    1373  I 1697  I 1910  I 2179  I 1975  I 2054  I 2060  I 2040  I 1884  I 1476  I 1268  I
MX0000010141947TAVG 1235  I 1374  I 1613  I 1862  I 2024  I 2161  I 2102  I-9999 QI-9999 QI 1801  I 1334  I 1209  I
MX0000010141948TAVG 1077  I 1457  I 1647  I 1918  I 2062  I 2109  I 1965  I 2018  I 1826  I 1685  I 1517  I 1420  I
MX0000010141949TAVG 1292  I 1400  I 1681  I 1767  I 2086  I 2146  I 2047  I 1996  I 1970  I 1820  I 1114  I 1276  I
MX0000010141950TAVG 1288  I 1391  I 1570  I 1911  I 2206  I 2048  I 1960  I 1981  I 1998  I 1604  I 1431  I 1075  I
MX0000010141951TAVG 1093  I 1267  I 1489  I 1849  I 2004  I 2227  I 2064  I 2032  I 1936  I 1708  I 1568  I 1439  I
MX0000010141952TAVG 1255  I 1235  I 1633  I 1839  I 2053  I 2091  I 2038  I 2051  I 1918  I 1407  I 1503  I 1257  I
MX0000010141953TAVG 1036  I 1410  I 1760  I 1851  I 2102  I 2266  I 2080  I 2094  I 1749  I 1834  I-9999   -9999   
MX0000010141954TAVG 1322  I 1438  I 1631  I 1971  I 2108  I 2229  I 1959  I 2082  I 2008  I 1707  I 1408  I-9999   
MX0000010141955TAVG 1103  I 1257  I 1714  I 1861  I 2198  I 2125  I 1947  I 1938  I 1838  I 1557  I 1443  I 1039  I
MX0000010141956TAVG  958  I 1312  I 1615  I 1930  I 2021  I 1913  I 1850  I 1913  I 1688  I 1616  I 1369  I 1210  I
